output/traj10_set0_rep0_counts.csv:generation,active_cell_count,latent_cell_count,active_turned_latent,latent_turned_active,latent_died,latent_proliferated,number_mutations,number_dual_inf,mean_fitness_active,mean_conserved_active,mean_immune_active,mean_replicative_active
output/traj10_set10_rep2_counts.csv:347,4915,436,11,17,23,24,319,112,0.2924622116692974,0.9946431619549069,0.3710910371444223,0.7923882017947332
output/traj10_set10_rep2_counts.csv:694,4915,485,12,18,23,24,385,132,0.38798962045984936,0.9934285293424074,0.4972558214805642,0.7851017970728981
output/traj10_set10_rep2_counts.csv:1042,4915,480,16,10,18,27,333,125,0.3674459617329866,0.9946868960640742,0.47602487562032403,0.7761256514330248
output/traj10_set10_rep2_counts.csv:1389,4915,471,14,9,11,11,345,151,0.2824799544749719,0.9935683478670373,0.3708272661400333,0.7665836445583935
output/traj10_set10_rep2_counts.csv:1736,4915,454,19,11,18,20,311,127,0.2704351748560703,0.9959452627857409,0.35665638053660137,0.7613461075774591
output/traj10_set10_rep2_counts.csv:2083,4915,490,9,19,12,18,340,140,0.2698515191587414,0.994407259014815,0.3597887040256706,0.7540986960154709
output/traj10_set10_rep2_counts.csv:2431,4915,459,12,16,15,15,327,138,0.2731000237640763,0.9941276219655555,0.3705437475936139,0.7413888613001863
output/traj10_set10_rep2_counts.csv:2778,4915,425,14,10,16,14,312,147,0.20350366244140464,0.9952461701625926,0.2802073872164009,0.7297791436849674
output/traj10_set10_rep2_counts.csv:3125,4915,411,18,15,20,10,358,128,0.2557589968872213,0.9949665331133334,0.35608285273300094,0.7218587676738759
output/traj10_set10_rep2_counts.csv:3472,4915,510,13,12,22,17,333,127,0.2624585133384747,0.9932887108177777,0.3709058631085304,0.7124147531295953
output/traj10_set10_rep3_counts.csv:generation,active_cell_count,latent_cell_count,active_turned_latent,latent_turned_active,latent_died,latent_proliferated,number_mutations,number_dual_inf,mean_fitness_active,mean_conserved_active,mean_immune_active,mean_replicative_active
output/traj10_set10_rep3_counts.csv:0,957,0,0,0,0,0,0,0,0.806508836610911,1.0,1.0,0.806508836610911
output/traj10_set10_rep3_counts.csv:347,4915,483,12,6,16,23,335,132,0.425680354095035,0.9937081663916669,0.5444043530086076,0.7869216364463202
output/traj10_set10_rep3_counts.csv:694,4915,482,20,14,24,19,325,145,0.34831948473292296,0.993987803440926,0.45425735323926913,0.7715306487432172
output/traj10_set10_rep3_counts.csv:1042,4915,473,13,11,21,24,324,125,0.15791443676650438,0.9942674404901853,0.2088623345586505,0.7603270690082199
output/traj10_set10_rep3_counts.csv:1389,4915,501,9,14,20,16,336,148,0.2803506331010337,0.9953422545780553,0.3710582408610868,0.7590940713199241
output/traj10_set10_rep3_counts.csv:1736,4915,465,15,15,16,15,345,134,0.2785667200335408,0.9952024360534255,0.3712044511325863,0.7540584212700128
output/traj10_set10_rep3_counts.csv:2083,4915,527,13,13,22,13,313,133,0.2383654737775307,0.994826714588704,0.3229570836673829,0.7419505048852528
output/traj10_set10_rep3_counts.csv:2431,4915,486,12,10,20,25,306,125,0.2334942246873144,0.9944072590148147,0.3197604115722016,0.7341894255015007
output/traj10_set10_rep3_counts.csv:2778,4915,521,16,13,26,16,339,137,0.21178539057488066,0.993105158183981,0.29394010835091766,0.725448361116862
output/traj10_set10_rep3_counts.csv:3125,4915,497,15,14,28,11,277,127,0.21818676689567823,0.9956656257364817,0.305300171254202,0.7175628781503383
output/traj10_set10_rep3_counts.csv:3472,4915,431,13,7,28,13,309,118,0.26239168948323965,0.9952461701625924,0.3703848007451546,0.7118860203824384
output/traj10_set10_rep4_counts.csv:generation,active_cell_count,latent_cell_count,active_turned_latent,latent_turned_active,latent_died,latent_proliferated,number_mutations,number_dual_inf,mean_fitness_active,mean_conserved_active,mean_immune_active,mean_replicative_active
output/traj10_set10_rep4_counts.csv:0,957,0,0,0,0,0,0,0,0.806508836610911,1.0,1.0,0.806508836610911
output/traj10_set10_rep4_counts.csv:347,4915,430,20,12,17,10,310,123,0.38439803528041777,0.992685702610092,0.49142154922164694,0.7877307580973538
output/traj10_set10_rep4_counts.csv:694,4915,517,10,20,21,18,321,132,0.40751757935862215,0.9955258072118521,0.5220612264743625,0.7840492502700381
output/traj10_set10_rep4_counts.csv:1042,4915,467,18,4,19,15,312,125,0.2841723863420338,0.9946868960640742,0.37043174532563916,0.7713560564092359
